Name,NRIC,Age,MaritalStatus,Password
Rachel,S3456789E,25,Single,password
Sarah,T7654321B,40,Married,password
Grace,S9876543C,37,Married,password
John,S1234567A,35,Single,password
James,T2345678D,30,Married,password
Alex,S7890123F,27,Single,password
Michelle,T8901234G,32,Married,password
Benjamin,S2345678H,38,Married,password
Sophia,T3456789I,22,Single,password
Ethan,S4567890J,45,Married,password
Olivia,T5678901K,36,Single,password
William,S6789012L,29,Married,password
Emma,T7890123M,41,Married,password
Noah,S8901234N,24,Single,password
Ava,T9012345O,33,Married,password
Michael,S0123456P,39,Single,password
Chloe,T1234567Q,26,Single,password
Daniel,S2345678R,34,Married,password
Mia,T3456789S,42,Married,password
Zoe,S4567890T,37,Single,password
Liam,T5678901U,28,Single,password
Isabella,S6789012V,31,Married,password
Lucas,T7890123W,36,Married,password
Amelia,S8901234X,23,Single,password
Mason,T9012345Y,44,Married,password
