Name,NRIC,Age,MaritalStatus,Password
Jennifer,S3210987K,32,Married,password
Jason,T4321098L,35,Single,password
Matthew,T0987654R,38,Married,password
David,T1234567J,29,Married,password
Samantha,S7654321O,31,Married,password
Elizabeth,S1098765S,26,Single,password
Daniel,T2109876H,36,Single,password
Victoria,S3210987U,39,Single,password
Christopher,T6543210N,40,Married,password
Emily,S6543210I,28,Single,password
Rebecca,S9876543Q,30,Married,password
Jonathan,T4321098V,29,Single,password
Amanda,S5432109M,27,Single,password
Andrew,T8765432P,34,Single,password
Ryan,T2109876T,33,Married,password
